20200102	341.85
20200103	344.85
20200106	354.94
20200107	350.20
20200108	356.41
20200109	349.20
20200110	346.61
20200113	347.37
20200114	341.24
20200115	344.64
20200116	345.83
20200117	344.55
20200120	345.02
20200121	348.12
20200122	346.47
20200123	347.08

20200203	356.63
20200204	355.49
20200205	350.47
20200206	349.67
20200207	352.44
20200210	353.51
20200211	352.50
20200212	351.41
20200213	352.68
20200214	354.27
20200217	355.28
20200218	356.64
20200219	360.64
20200220	362.64
20200221	367.33
20200224	376.07
20200225	374.20
20200226	370.92
20200227	372.41
20200228	369.73

20200302	357.65
20200303	358.23
20200304	367.09
20200305	365.56
20200306	373.28
20200309	377.48
20200310	370.49
20200311	368.33
20200312	365.38
20200313	349.60
20200316	344.66
20200317	332.51
20200318	343.23
20200319	334.54
20200320	336.15
20200323	338.75
20200324	357.29
20200325	365.21
20200326	363.33
20200327	366.25
20200330	364.75
20200331	363.75

20200401	355.88
20200402	358.47
20200403	363.36
20200407	373.90
20200408	370.05
20200409	369.27
20200410	373.00
20200413	371.62
20200414	375.98
20200415	377.35
20200416	375.47
20200417	374.26
20200420	369.79
20200421	372.71
20200422	373.81
20200423	379.24
20200424	380.27
20200427	380.55
20200428	377.25
20200429	378.82
20200430	378.54

20200506	379.96
20200507	379.10
20200508	382.73
20200511	381.53
20200512	380.10
20200513	380.71
20200514	382.88
20200515	387.33
20200518	399.07
20200519	394.11
20200520	396.66
20200521	395.03
20200522	389.70
20200525	391.58
20200526	392.96
20200527	389.91
20200528	391.25
20200529	391.90

20200601	394.47
20200602	395.40
20200603	392.25
20200604	388.62
20200605	389.65
20200608	383.64
20200609	384.51
20200610	388.33
20200611	390.76
20200612	390.52
20200615	392.28
20200616	391.25
20200617	390.18
20200618	390.23
20200619	390.35
20200622	395.88
20200623	395.02
20200624	396.89
20200629	397.35
20200630	397.44

20200701	399.39
20200702	397.16
20200703	398.03
20200706	396.93
20200707	397.65
20200708	399.30
20200709	401.61
20200710	400.41
20200713	400.40
20200714	399.81
20200715	401.29
20200716	400.73
20200717	396.66
20200720	398.24
20200721	400.00
20200722	410.40
20200723	412.04
20200724	415.38
20200727	423.53
20200728	434.75
20200729	427.35
20200730	427.91
20200731	425.05

20200803	428.20
20200804	428.54
20200805	435.58
20200806	440.97
20200807	448.10
20200810	441.92
20200811	440.07
20200812	403.08
20200813	413.30
20200814	421.22
20200817	417.53
20200818	428.67
20200819	427.19
20200820	414.61
20200821	415.68
20200824	411.48
20200825	413.98
20200826	413.32
20200827	417.06
20200828	416.12
20200831	420.76

20200901	422.92
20200902	419.58
20200903	416.94
20200904	414.71
20200907	415.20
20200908	412.89
20200909	413.65
20200910	416.76
20200911	416.84
20200914	416.55
20200915	417.39
20200916	415.42
20200917	413.27
20200918	414.14
20200921	415.28
20200922	405.71
20200923	405.35
20200924	398.02
20200925	397.12
20200928	398.72
20200929	403.86
20200930	404.83

20201009	403.80
20201012	408.81
20201013	407.99
20201014	401.28
20201015	401.86
20201016	404.00
20201019	401.98
20201020	401.39
20201021	404.69
20201022	403.12
20201023	402.44
20201026	401.33
20201027	404.05
20201028	404.47
20201029	398.78
20201030	396.98

20201102	398.88
20201103	401.83
20201104	403.97
20201105	402.50
20201106	407.67
20201109	408.43
20201110	394.30
20201111	394.40
20201112	394.14
20201113	396.00
20201116	397.82
20201117	395.50
20201118	393.49
20201119	392.05
20201120	391.14
20201123	391.61
20201124	382.57
20201125	379.36
20201126	378.84
20201127	378.91
20201130	371.66

20201201	370.87
20201202	377.67
20201203	379.88
20201204	382.20
20201207	381.81
20201208	386.79
20201209	387.13
20201210	382.29
20201211	381.73
20201214	381.48
20201215	381.21
20201216	385.83
20201217	387.04
20201218	390.37
20201221	395.39
20201222	392.48
20201223	389.64
20201224	391.50
20201225	391.39
20201228	395.77
20201229	391.46
20201230	391.01
20201231	393.66




2020 243	387.53
